tw,ch,en
庭上辨認,庭上辨认,court identification
明顯失職行為,明显失职行为,flagrant and incompetent conduct
證據矛盾,证据矛盾,conflict of evidence
免予起訴書,免予起诉书,immunity
維護個人利益的供詞,维护个人利益的供词,self-serving statement
沒有足夠證據,没有足够证据,insufficient evidence
訊問員,讯问员,examiner
酌情決定,酌情决定,discretion
因果關係,因果关系,causal link
聲稱,声称,assertion
不針對……舉出證據,不针对……举出证据,offer no evidence against ...
動議通知書,动议通知书,notice of motion
實際意圖,实际意图,actual intention
雙重罪責原則,双重罪责原则,double criminality principle
無律師代表[親自應訊],无律师代表[亲自应讯],in person
獲免予起訴的從犯,获免予起诉的从犯,accomplice with immunity
刑責,刑责,culpability
要求控方證案,要求控方证案,put the prosecution to proof
環境證據,环境证据,circumstantial evidence
口頭承認,口头承认,verbal admission
寬免……法律責任,宽免……法律责任,exonerate ... from liability
循簡易程序審訊藐視法庭案,循简易程序审讯藐视法庭案,summary contempt proceedings
行之已久的法律原則,行之已久的法律原则,trite law
最高判刑權限,最高判刑权限,maximum sentencing jurisdiction
判被告人繳付的訟費,判被告人缴付的讼费,costs awarded against the defendant
混合書面供詞,混合书面供词,mixed deposition
逮捕令,逮捕令,warrant of arrest
促成串謀,促成串谋,in furtherance of the conspiracy
分成多宗案件處理,分成多宗案件处理,sever
免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
分歧的解決方法,分歧的解决方法,resolution of differences
違反誠信的罪行,违反诚信的罪行,offence arising from a breach of trust
獲法院給予證明的法律論點,获法院给予证明的法律论点,certified point of law
法律程序謄本,法律程序誊本,transcript of the proceedings
普遍程度,普遍程度,prevalence
不能認出被告人,不能认出被告人,negative identification
撤銷保釋命令,撤销保释命令,revoke order for bail
反駁,反驳,refute
自新計劃,自新计划,rehabilitative programme
阻止屍體被合法及適當地埋葬,阻止尸体被合法及适当地埋葬,prevention of the lawful and decent burial of a corpse
以案件呈述方式上訴,以案件呈述方式上诉,appeal by way of case stated
推論證據,推论证据,inferential evidence
短期監禁,短期监禁,short-term prison sentence
查問疑犯及錄取口供的規則及指示,查问疑犯及录取口供的规则及指示,Rules and Directions for the Questioning of Suspects and the Taking of Statements
以不在犯罪現場為辯護,以不在犯罪现场为辩护,defence of alibi
特定犯罪意圖,特定犯罪意图,specific intent
不能認出被告人,不能认出被告人,negative identification
推論被告有罪,推论被告有罪,inference of guilt
分期執行的監禁刑期,分期执行的监禁刑期,consecutive sentences of imprisonment
串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
代替其父母地位的人,代替其父母地位的人,other person standing in loco parentis to him
下層法院,下层法院,lower court
法律推定,法律推定,legal presumption
案例一覽表,案例一览表,list of authorities
不良品格的……證據,不良品格的……证据,evidence of bad character
給予……證據分量,给予……证据分量,give weight to ... evidence
押後判刑,押后判刑,defer sentence
判刑前的報告,判刑前的报告,pre-sentencing report
答辯商討,答辩商讨,plea bargaining
引渡,引渡,extradition
要求覆判,要求覆判,application ... for review of sentence
作為……不作為,作为……不作为,acts ... omissions
合格而謹慎的駕駛人,合格而谨慎的驾驶人,competent and careful driver
及時認罪,及时认罪,timely plea
普通法的次級參與原則,普通法的次级参与原则,common law doctrine of secondary participation
招認是否可接納為證據,招认是否可接纳为证据,admissibility of confession
相對可能性的衡量,相对可能性的衡量,balance of probabilities
法律程序……以非公開形式進行,法律程序……以非公开形式进行,proceedings ... conducted ... in camera
自招懷疑,自招怀疑,brought suspicion upon himself
控罪範本,控罪范本,specimen charge
矛盾證供,矛盾证供,conflicting evidence
法定罪行,法定罪行,statutory offence
擾亂秩序的行為,扰乱秩序的行为,disorderly conduct
具關鍵性的謊言,具关键性的谎言,material lie
違禁行為,违禁行为,prohibited acts
導致賣淫,导致卖淫,causing prostitution
合理的人的標準,合理的人的标准,reasonable man standard
招認是否可接納為證據,招认是否可接纳为证据,admissibility of confession
猖獗程度,猖獗程度,prevalence
暫准訟費命令,暂准讼费命令,costs order nisi
獲法院給予證明的法律論點,获法院给予证明的法律论点,certified point of law
有合理的投訴或抱怨,有合理的投诉或抱怨,legitimate sense of grievance
總體量刑原則,总体量刑原则,principle of totality
司法評論,司法评论,judicial comment
爭訟案件,争讼案件,contested case
理智及思想正常的人,理智及思想正常的人,sensible and right-minded people
共同管有或各別管有,共同管有或各别管有,possessed jointly ... or severally
司法解釋,司法解释,judicial interpretation
陪審團退庭商議,陪审团退庭商议,jury retirement
對證供重新評估,对证供重新评估,re-evaluation of evidence
行政酌情決定,行政酌情决定,executive discretion
合格而謹慎的駕駛人,合格而谨慎的驾驶人,competent and careful driver
正面的良好品格,正面的良好品格,positive good character
宣讀判詞,宣读判词,delivery of the judgment
辯方訟費,辩方讼费,defence costs
合併控罪書,合并控罪书,consolidated charge sheet
強行帶走,强行带走,forcible taking
借機犯罪,借机犯罪,opportunistic offence
同意提出檢控,同意提出检控,consent to prosecute
限制令,限制令,restraint order
侵擾,侵扰,harassment
判罰處理方法,判罚处理方法,sentencing approach
經修訂的控罪書,经修订的控罪书,amended charge sheet
判刑範圍,判刑范围,sentencing range
法官規程,法官规程,Judges' Rules
排除傳聞證據的原則,排除传闻证据的原则,rule against hearsay
濫用司法程序,滥用司法程序,abuse of process
同案被控人一同判刑,同案被控人一同判刑,simultaneous sentencing of co-accused
欠妥的控罪書,欠妥的控罪书,defective charge
貶損……控方證人的品格,贬损……控方证人的品格,imputations on the character of ... the witnesses for the prosecution
擬檢控通知書,拟检控通知书,notice of the intended prosecution
中期上訴,中期上诉,intermediate appeal
指引範本,指引范本,specimen direction
真實、重大而迫切的危險,真实、重大而迫切的危险,"real, substantial and imminent danger"
無犯罪意圖,无犯罪意图,innocent belief
合理審慎者的標準,合理审慎者的标准,the standard of the reasonable prudent man
倒轉舉證責任,倒转举证责任,reversing onus of proof
可使罪責減輕的……的情況,可使罪责减轻的……的情况,extenuating circumstances
不必自我指證的原則,不必自我指证的原则,principle against self-incrimination
公事保密,公事保密,official secrecy
空泛地聲稱,空泛地声称,asserted in a vacuum
判斷是否知情的客觀標準,判断是否知情的客观标准,objective test of knowledge
削減可扣減的刑期,削减可扣减的刑期,reduced discount
有損信譽的作為,有损信誉的作为,discreditable act
證據總體,证据总体,totality of the evidence
犯罪紀錄,犯罪纪录,previous convictions
暫准訟費命令,暂准讼费命令,costs order nisi
合理標準驗證,合理标准验证,reasonableness test
針對定罪的上訴,针对定罪的上诉,appeal against conviction
一系列相關的案例,一系列相关的案例,line of authorities
非監禁的刑罰,非监禁的刑罚,non-custodial sentence
提供法律指引的律師,提供法律指引的律师,advising counsel
簽保以保證保持行為良好,签保以保证保持行为良好,bind over to be of good behaviour
明示或默然同意,明示或默然同意,expressly or tacitly agreed
錄影紀錄證據,录影纪录证据,video recorded evidence
令其即時釋放的刑期,令其即时释放的刑期,sentence that allowed immediate release
雙重罪責原則,双重罪责原则,double criminality principle
原則上錯誤,原则上错误,wrong in principle
適用範圍,适用范围,parameter
三合會社團的集會,三合会社团的集会,meeting of a triad society
意料之內的風險,意料之内的风险,calculated risk
知悉犯罪的證明,知悉犯罪的证明,proof of guilty knowledge
循簡易程序審訊藐視法庭案,循简易程序审讯藐视法庭案,summary contempt proceedings
無聽取答辯,无听取答辩,no plea ... taken
暫緩執行刑罰令,暂缓执行刑罚令,order of suspended sentence
有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
全面的指引,全面的指引,full direction
司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
針對刑罰的上訴,针对刑罚的上诉,appeal against sentence
最低要求,最低要求,threshold requirement
合理辯解,合理辩解,reasonable excuse
作出……擾亂秩序的行為,作出……扰乱秩序的行为,behaves in a ... disorderly manner
不可被強迫作證,不可被强迫作证,not compellable to give evidence
事實情節複雜,事实情节复杂,factual complexity
錯誤相信,错误相信,mistaken belief
證據上的效力,证据上的效力,evidential effect
確當因由,确当因由,just cause
上訴……合併,上诉……合并,appeals ... consolidated
自簽擔保……以保證遵守法紀,自签担保……以保证遵守法纪,bind over to keep the peace ... his own recognizances
錯誤引用法律,错误引用法律,misapplication of law
證據前後矛盾,证据前后矛盾,contradiction in evidence
客觀的旁觀者,客观的旁观者,objective bystander
緩刑令,缓刑令,order of suspended sentence
書面回應綱要,书面回应纲要,written skeleton reply
法律裁判者,法律裁判者,tribunal of law
喪失時效,丧失时效,time-bar for actions
有罪的推論,有罪的推论,inference of guilt
可行的判刑選擇,可行的判刑选择,viable sentencing option
在法官席前提出,在法官席前提出,put before the judge
轉承責任,转承责任,vicarious responsibility
刑事作為,刑事作为,criminal act
足三分一刑期減免,足三分一刑期减免,full discount of one-third of the sentence
上訴通知,上诉通知,notice of appeal
合乎情理的判刑政策,合乎情理的判刑政策,sensible sentencing policy
法律爭議,法律争议,legal argument
量刑取向,量刑取向,sentencing approach
有預謀的行為,有预谋的行为,premeditated act
兒童在未經宣誓下所作的證供,儿童在未经宣誓下所作的证供,unsworn testimony of child
作出及簽署案件呈述,作出及签署案件呈述,state and sign a case
所犯罪行惹起公憤,所犯罪行惹起公愤,public abhorrence of the crime committed
就謊言的全面指引,就谎言的全面指引,full lies direction
整體刑期的原則,整体刑期的原则,the totality principle
權責終結,权责终结,functus officio
書面交付審判,书面交付审判,paper committal
串謀綁架,串谋绑架,conspiracy to kidnap
藐視法庭,藐视法庭,contempt of court
筆跡鑑證專家,笔迹鉴证专家,handwriting expert
案例彙編,案例汇编,reported judgment
藐視法庭,藐视法庭,contempt of court
答辯,答辩,defence
量刑起點,量刑起点,starting point of sentence
法官的紀錄,法官的纪录,judge's notes
執行公義必須彰顯於人前,执行公义必须彰显于人前,justice is done and is seen to be done
靈活的……釋義,灵活的……释义,liberal ... interpretation
劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis added
主要陳詞,主要陈词,principal submission
要求控方全面證案,要求控方全面证案,put the prosecution to straight proof
陳詞綱領,陈词纲领,skeleton submission
抗辯理據,抗辩理据,defence
必要和相稱,必要和相称,necessity and proportionality
將串謀[計劃]付諸實行,将串谋[计划]付诸实行,in furtherance of the conspiracy
串謀促致流產,串谋促致流产,conspiracy to procure a miscarriage
清白理由,清白理由,innocent reason
申請司法覆核的許可,申请司法复核的许可,application for leave to apply for judicial review
量刑等級,量刑等级,level of sentence
合理的旁觀者,合理的旁观者,reasonable bystander
已為人接受的通常做法,已为人接受的通常做法,accepted norm
控方開審陳詞,控方开审陈词,prosecution opening
決定因素,决定因素,determining factor
同類原則,同类原则,ejusdem generis
非自願認罪,非自愿认罪,involuntary plea
犯罪意圖,犯罪意图,mens rea
主體法例,主体法例,primary legislation
訟費評定聆訊,讼费评定聆讯,taxation hearing
構成表面證據,构成表面证据,establish a prima facie case
擔保……沒收,担保……没收,recognizances ... estreated
錯誤指引,错误指引,misdirection
法律推定,法律推定,presumption of law
擾亂秩序的行為,扰乱秩序的行为,disorderly conduct
檢控時限,检控时限,time limit for prosecution of offences
不利的決定,不利的决定,adverse decision
簽保以保證保持行為良好,签保以保证保持行为良好,bind over to be of good behaviour
事實的推論,事实的推论,inference of fact
將案件發還……處理,将案件发还……处理,remit the case
意識自己有罪,意识自己有罪,consciousness of guilt
案例彙編,案例汇编,reported judgment
推翻推定,推翻推定,displace presumption
整體刑期的原則,整体刑期的原则,principle of totality
毒品的成份,毒品的成份,narcotic content
頒令付款,颁令付款,order for payment of money
經證實的謊言,经证实的谎言,proved lie
同意檢控書,同意检控书,consent to prosecute
程序上的不正當行為,程序上的不正当行为,procedural impropriety
指紋證據,指纹证据,fingerprint evidence
兜攬,兜揽,touting
證案價值,证案价值,probative value
經營不道德場所,经营不道德场所,keeping a disorderly house
有合理理由感到受屈,有合理理由感到受屈,legitimate sense of grievance
企圖罪行,企图罪行,attempted offence
司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
構成表面證據,构成表面证据,establish a prima facie case
違反誠信的罪行,违反诚信的罪行,offence arising from a breach of trust
違反誠信的行為,违反诚信的行为,act in breach of trust
非經精密策劃,非经精密策划,lack of sophistication
單獨主審的法官,单独主审的法官,single judge
司法認知,司法认知,judicial knowledge
擬檢控通知書,拟检控通知书,notice of intention to prosecute
加重刑罰因素,加重刑罚因素,aggravating factor
康復服務,康复服务,rehabilitation
待決的法律程序,待决的法律程序,pending proceedings
裁決理由,裁决理由,reasons for ... verdict
部分分期執行的刑期,部分分期执行的刑期,partially consecutive sentences
誘導性問題,诱导性问题,leading question
有疏漏的判決,有疏漏的判决,per incuriam
查問疑犯及錄取口供的規則及指示,查问疑犯及录取口供的规则及指示,Rules and Directions for the Questioning of Suspects and the Taking of Statements
錄影會面,录影会面,video recorded interview
對公眾的妨擾,对公众的妨扰,public nuisance
技術因素,技术因素,technicality
兒童證人的作證資格,儿童证人的作证资格,competency of a child witness
蓄意編造的謊言,蓄意编造的谎言,deliberate lie
慣常的判刑幅度,惯常的判刑幅度,customary range of sentence
保釋條款,保释条款,terms of bail
減刑因素,减刑因素,mitigating circumstances
恐嚇手段,恐吓手段,intimidation
代替其父母地位的人,代替其父母地位的人,other person standing in loco parentis to him
引出……證據,引出……证据,elicit evidence
免責辯護,免责辩护,defence
潛在危機,潜在危机,latent risk
常規與程序,常规与程序,practice and procedure
希望得到利益,希望得到利益,hope of advantage
嚴重程序錯誤,严重程序错误,grave procedural error
反向的舉證責任,反向的举证责任,reverse burden
普通法妻子,普通法妻子,common law wife
移交命令完備,移交命令完备,the transfer order ... perfected
當庭宣判的裁決,当庭宣判的裁决,extempore judgment
劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis supplied
作出有違公德的行為,作出有违公德的行为,commit an act outraging public decency
認罪的答辯,认罪的答辩,plea of guilty
直接口頭證據,直接口头证据,direct oral evidence
與21歲以下女童作出肛交,与21岁以下女童作出肛交,buggery with girl under 21
刑事破產令,刑事破产令,criminal bankruptcy order
人事擔保,人事担保,surety
較輕微的交替控罪,较轻微的交替控罪,lesser alternative
商業性質的販毒,商业性质的贩毒,commercial trafficking
補缺規則,补缺规则,mischief rule
終結規則,终结规则,finality rule
喪失理智,丧失理智,defect of reason
普通法的次級參與原則,普通法的次级参与原则,common law doctrine of secondary participation
管有及知悉……的推定,管有及知悉……的推定,presumption of possession and knowledge of ...
辨認聲音,辨认声音,voice identification
存疑裁決,存疑裁决,open verdict
再修訂的控罪書,再修订的控罪书,re-amended charge sheet
摧毀或損壞財產,摧毁或损坏财产,destroy or damage property
程序上的不正當行為,程序上的不正当行为,procedural impropriety
潛在危機,潜在危机,latent risk
言行舉止,言行举止,demeanour
特級線人,特级线人,supergrass
串謀妨礙司法公正,串谋妨碍司法公正,conspiracy to pervert the course of justice
避席,避席,recuse
歸還罪犯安排,归还罪犯安排,rendition arrangement
作為及意圖,作为及意图,acts and intents
法律構定的知情,法律构定的知情,constructive knowledge
刑事損壞,刑事损坏,criminal damage
對證供重新評估,对证供重新评估,re-evaluation of evidence
獨立而公正的證人,独立而公正的证人,independent and impartial witness
串謀敗壞公眾道德,串谋败坏公众道德,conspiracy to corrupt public morals
司法互助,司法互助,mutual judicial assistance
沒收令,没收令,confiscation order
無犯罪意圖的管有,无犯罪意图的管有,innocent possession
導致自己……入罪,导致自己……入罪,incrimination of self
不根據前提的推論,不根据前提的推论,non sequitur
判刑指引,判刑指引,sentencing guideline
不小心騎踏單車,不小心骑踏单车,careless cycling
以威脅促致他人作非法的性行為,以威胁促致他人作非法的性行为,procurement by threats
法律程序……以非公開形式進行,法律程序……以非公开形式进行,proceedings ... conducted ... in camera
控辯雙方承認的事實,控辩双方承认的事实,admitted facts
條例的釋疑,条例的释疑,construction of ordinances
“法律不問瑣事”的原則,“法律不问琐事”的原则,de minimis principle
單一名法官,单一名法官,single judge
混合口供,混合口供,mixed statement
無須答辯,无须答辩,no case to answer
求情的因素,求情的因素,mitigating circumstances
襲擊他人致造成身體傷害,袭击他人致造成身体伤害,assault occasioning actual bodily harm
不合情理的解釋,不合情理的解释,implausible account
自簽擔保……以保證遵守法紀,自签担保……以保证遵守法纪,bind over to keep the peace ... his own recognizances
判刑慣例,判刑惯例,sentencing practice
不知情管有,不知情管有,innocent possession
慣常的判刑幅度,惯常的判刑幅度,customary range of sentence
法醫驗證,法医验证,forensic examination
簽保以保證保持行為良好,签保以保证保持行为良好,bind over to be of good behaviour
主觀的檢驗標準,主观的检验标准,subjective test
明顯辯護失職的評定標準,明显辩护失职的评定标准,test of flagrantly incompetent advocacy
不服定罪的上訴,不服定罪的上诉,appeal against conviction
證實知情的直接證據,证实知情的直接证据,direct evidence of knowledge
原審律師,原审律师,trial counsel
瞬間的聲音,瞬间的声音,fleeting hearing
犯罪計劃,犯罪计划,criminal enterprise
企圖,企图,attempt
行之已久的法律原則,行之已久的法律原则,trite law
針對定罪的上訴,针对定罪的上诉,appeal against conviction
劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis added
呈述的法律問題,呈述的法律问题,stated question of law
不合情理的解釋,不合情理的解释,implausible account
精神科醫生報告,精神科医生报告,psychiatric report
犯罪意識,犯罪意识,guilty knowledge
兒童在未經宣誓下所作的證供,儿童在未经宣誓下所作的证供,unsworn testimony of child
正當法律程序,正当法律程序,due process of law
整體刑期的原則,整体刑期的原则,principle of totality
沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
用以恢復記憶的文件,用以恢复记忆的文件,document used ... to refresh ... memory
交出令,交出令,production order
按彌償基準計算的訟費,按弥偿基准计算的讼费,costs on an indemnity basis
法律論點,法律论点,point of law
歸還罪犯安排,归还罪犯安排,rendition arrangement
強制性刑罰,强制性刑罚,mandatory penalty
混合供詞,混合供词,mixed statement
就被告辯稱不在犯罪現場所作的指引,就被告辩称不在犯罪现场所作的指引,alibi direction
科學鑑證,科学鉴证,forensic examination
挽回損失,挽回损失,recoup the loss
給予……證據分量,给予……证据分量,give weight to ... evidence
可具有採取適當行動的權力的人,可具有采取适当行动的权力的人,person who may have power to take appropriate action
不可信的辯護理由,不可信的辩护理由,incredible defence
不爭事實,不争事实,undisputed facts
提交令,提交令,production order
可行和可供考慮的判罰方式,可行和可供考虑的判罚方式,feasible sentencing option
判刑等級,判刑等级,scale of sentencing
經考慮兼知情的決定,经考虑兼知情的决定,deliberate and informed decision
整體刑期,整体刑期,totality of sentence
改為認罪,改为认罪,reversal of plea
經恰當指引的陪審團,经恰当指引的陪审团,properly directed jury
唯一合理推斷,唯一合理推断,the only reasonable inference
質疑供詞的採納性的權利,质疑供词的采纳性的权利,right to challenge admissibility
裁決理由,裁决理由,reasons for ... verdict
認罪,认罪,guilty plea
兩項刑罰互不相容,两项刑罚互不相容,sentences incompatible
主謀,主谋,mastermind
單獨囚禁,单独囚禁,solitary confinement
控罪範本,控罪范本,specimen charge
同案被控人一同判刑,同案被控人一同判刑,simultaneous sentencing of co-accused
已確立的量刑政策,已确立的量刑政策,settled sentencing policy
干犯罪行的可能性,干犯罪行的可能性,probability to commit crime
知悉犯罪的證明,知悉犯罪的证明,proof of guilty knowledge
以虛假藉口促致他人作非法的性行為,以虚假借口促致他人作非法的性行为,procurement by false pretences
加重刑罰,加重刑罚,enhanced sentence
申請司法覆核的許可,申请司法复核的许可,application for leave to apply for judicial review
論點大綱,论点大纲,skeleton arguments
機會主義的爆竊者,机会主义的爆窃者,opportunistic burglar
精神失常的狀態,精神失常的状态,disordered state of mind
倒轉舉證責任的條文,倒转举证责任的条文,reverse-onus provision
充分證據,充分证据,substantial evidence
共同管有,共同管有,joint possession
相稱的原則,相称的原则,principle of proportionality
免予起訴,免予起诉,immunity from prosecution
貫徹立法的目的,贯彻立法的目的,promote the objects of the statute
恐嚇手段,恐吓手段,intimidation
合乎情理的判刑政策,合乎情理的判刑政策,sensible sentencing policy
承認事實通知書,承认事实通知书,notice to admit facts
帶貨人,带货人,courier
欠妥的控罪書,欠妥的控罪书,defective charge
近期管有,近期管有,recent possession
新近管有原則,新近管有原则,doctrine of recent possession
主問證供,主问证供,evidence in chief
嚴格法律責任罪行,严格法律责任罪行,offence of strict liability
貶損……控方證人的品格,贬损……控方证人的品格,imputations on the character of ... the witnesses for the prosecution
除弊規則,除弊规则,mischief rule
財務權益,财务权益,financial interests
沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
作出準備……的作為,作出准备……的作为,doing an act preparatory to ...
慣常判刑,惯常判刑,customary sentence
全部證據,全部证据,totality of the evidence
覆核訟費的評定,复核讼费的评定,review of taxation of costs
證據舉證責任,证据举证责任,evidential onus
真正風險,真正风险,real risk
串謀作出有違公德的行為,串谋作出有违公德的行为,conspiracy to outrage public decency
遵照先例原則,遵照先例原则,stare decisis
給予……證據分量,给予……证据分量,attach weight to ... evidence
辨認在犯人欄內的被告,辨认在犯人栏内的被告,dock identification
無基礎的試探性問題,无基础的试探性问题,fishing expedition
修訂……控罪,修订……控罪,amend ... charge
良好品格指引,良好品格指引,direction on good character
單獨一項作為或一連串作為,单独一项作为或一连串作为,a single act or series of acts
舉證責任……轉移至,举证责任……转移至,burden of proof ... shifted
精神失常的狀態,精神失常的状态,disordered state of mind
將……的判刑與……的量刑基準掛鈎,将……的判刑与……的量刑基准挂钩,sentence for ... be pegged to tariffs for ...
具補救作用的詮釋,具补救作用的诠释,remedial construction
較低舉證準則,较低举证准则,lower standard of proof
提出告發,提出告发,lay an information
表面的案,表面的案,prima facie case
三分一刑期寬減,三分一刑期宽减,discount of 1/3
自然原因,自然原因,natural causes
論點大綱,论点大纲,skeleton arguments
履行責任令,履行责任令,order of mandamus
判刑者,判刑者,sentencer
法官的判詞,法官的判词,per cur [per curiam]
聽取證供,听取证供,receive evidence
刑事司法體系,刑事司法体系,criminal justice system
獨立無私之法定管轄法庭,独立无私之法定管辖法庭,"competent, independent and impartial tribunal"
權責終結,权责终结,functus officio
從合法羈押逃脫,从合法羁押逃脱,escape from lawful custody
審理上訴的中級法院,审理上诉的中级法院,intermediate appellate court
司法中立,司法中立,judicial neutrality
舉證責任……轉移至,举证责任……转移至,burden of proof ... shifted
無損權益的陳述,无损权益的陈述,non-prejudicial statement
造成偏見的影響,造成偏见的影响,prejudicial effect
以案件呈述方式提出的法律問題,以案件呈述方式提出的法律问题,case stated question
經恰當指引的陪審團,经恰当指引的陪审团,properly directed jury
證人記憶,证人记忆,recollection of witness
辯解或解釋,辩解或解释,excuse or explanation
罪證,罪证,evidence of guilt
判處即時監禁,判处即时监禁,immediate custodial sentence
法規的詮釋,法规的诠释,construction of statutes
須作答辯,须作答辩,case to answer
真實、重大而迫切的危險,真实、重大而迫切的危险,"real, substantial and imminent danger"
把法律問題提交上訴法庭裁決,把法律问题提交上诉法庭裁决,reserve question of law for consideration of Court of Appeal
不服釋放命令的上訴,不服释放命令的上诉,appeal from order for discharge
較輕微的交替控罪,较轻微的交替控罪,lesser alternative
量刑程序,量刑程序,sentencing procedure
交付偽製流通紙幣,交付伪制流通纸币,deliver counterfeit currency notes
法庭以外陳述,法庭以外陈述,extra-judicial statement
有污點的證據,有污点的证据,tainted evidence
精神上無能力,精神上无能力,disability of mind
判給訟費,判给讼费,award of costs
證供謄本,证供誊本,transcript of evidence
警誡人員,警诫人员,cautioning officer
條例的釋疑,条例的释疑,construction of ordinances
無不軌意圖,无不轨意图,innocent belief
判刑,判刑,sentence
裁定無罪,裁定无罪,acquittal
判處刑罰證明書,判处刑罚证明书,certificate of sentence
執行公義，不忘寬大,执行公义，不忘宽大,temper justice with mercy
法律論點,法律论点,legal argument
在未經宣誓的情況下……證據,在未经宣誓的情况下……证据,unsworn evidence
知悉犯罪的證明,知悉犯罪的证明,proof of guilty knowledge
無條件釋放,无条件释放,absolute discharge
自衞,自卫,self-defence
令其即時釋放的刑期,令其即时释放的刑期,sentence that allowed immediate release
上訴屬當然權利,上诉属当然权利,appeal as of right
辯方案情,辩方案情,defence case
以虛假藉口促致他人作非法的性行為,以虚假借口促致他人作非法的性行为,procurement by false pretences
保釋金,保释金,bail
三分一刑期寬減,三分一刑期宽减,discount of 1/3
具欺詐成分的失實陳述,具欺诈成分的失实陈述,fraudulent misrepresentation
暫緩執行刑罰令,暂缓执行刑罚令,order of suspended sentence
主觀的認知,主观的认知,subjective knowledge
明顯欠缺論據的陳詞,明显欠缺论据的陈词,patently unarguable submission
毒品的成份,毒品的成份,narcotic content
頒令付款,颁令付款,order for payment of money
駕駛資格取消期間,驾驶资格取消期间,disqualification period
襲擊他人致造成身體傷害,袭击他人致造成身体伤害,assault occasioning actual bodily harm
自知有罪,自知有罪,realisation of guilt
唯一合理推斷,唯一合理推断,the only reasonable inference
判刑原則,判刑原则,sentencing principles
撤回控罪,撤回控罪,withdraw the charge
捏造事實,捏造事实,concoction
判詞主旨,判词主旨,ratio decidendi
補錄口供,补录口供,post-recorded statement
慣常減刑幅度,惯常减刑幅度,usual discount
上訴得直,上诉得直,appeal allowed
具高度證案價值的證據,具高度证案价值的证据,highly probative evidence
改變答辯,改变答辩,reversal of plea
單獨一項作為或一連串作為,单独一项作为或一连串作为,a single act or series of acts
判刑起點,判刑起点,starting point
串謀詐騙罪,串谋诈骗罪,conspiracy to defraud
無可質疑的,无可质疑的,unimpeachable
共同犯罪,共同犯罪,joint enterprise
共同管有或各別管有,共同管有或各别管有,possessed jointly ... or severally
辨認的正確性,辨认的正确性,correctness of identification
歸還財物令,归还财物令,order for the restitution of property
以非公開形式進行審訊,以非公开形式进行审讯,trial in camera
非宗教式保密宣誓,非宗教式保密宣誓,affirmation of secrecy
罪行的相對嚴重性,罪行的相对严重性,comparative gravity of offence
案例不獲認同,案例不获认同,case disapproved
判刑程序,判刑程序,sentencing procedure
當權者,当权者,person in authority
引導性問題,引导性问题,leading question
明顯地失職,明显地失职,flagrantly incompetent
虛假地作出申述,虚假地作出申述,falsely representing
串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
純粹管有,纯粹管有,simple possession
特赦證人,特赦证人,immunised witness
暫行聆訊,暂行聆讯,heard de bene esse
虛假證據,虚假证据,false evidence
就被告人的品格作出全面指引,就被告人的品格作出全面指引,full character direction
良好品格,良好品格,good character
分期執行的監禁刑期,分期执行的监禁刑期,consecutive sentences of imprisonment
刑罰條文,刑罚条文,penal provision
循公訴程序,循公诉程序,upon indictment
可被推翻的推定,可被推翻的推定,rebuttable presumption
固有司法管轄權,固有司法管辖权,inherent jurisdiction
據法權產,据法权产,choses in actions
一般法律原則,一般法律原则,general principles of law
簡易程序罪行,简易程序罪行,summary offence
代理人,代理人,agent
阻止屍體被合法及適當地埋葬,阻止尸体被合法及适当地埋葬,prevention of the lawful and decent burial of a corpse
犯罪得益,犯罪得益,criminal gains
真誠,真诚,bona fide
干犯罪行的可能性,干犯罪行的可能性,probability to commit crime
企圖從合法羈押逃脫,企图从合法羁押逃脱,attempt to escape from lawful custody
明顯不足,明显不足,manifestly inadequate
不可接納為證據,不可接纳为证据,inadmissible in evidence
態度,态度,demeanour
指模證據,指模证据,fingerprint evidence
一名單獨開庭的法官,一名单独开庭的法官,judge sitting alone
提起法律程序,提起法律程序,initiate proceedings
人事擔保,人事担保,surety
復還財產的命令,复还财产的命令,order for the restitution of property
並不穩妥或並不令人滿意,并不稳妥或并不令人满意,unsafe or unsatisfactory
偏離……指引,偏离……指引,departure from the guideline
悖理裁決,悖理裁决,perverse verdict
量刑等級,量刑等级,level of sentence
證人表,证人表,schedule of witness
於案發後不久被發現管有贓物的法律原則,于案发后不久被发现管有赃物的法律原则,doctrine of recent possession
